Date,Location,Age,Count
2/26/1987,PRH,BULL-SA4,2
2/26/1987,PRH,COW,1
2/26/1987,PRH,PUP,1
2/26/1987,PRH,WNR,8
3/7/1987,PRH,BULL-SA4,1
3/7/1987,PRH,SA1-3,1
3/7/1987,PRH,COW,1
3/7/1987,PRH,PUP,1
3/7/1987,PRH,WNR,8
3/18/1987,PRH,SA1-3,2
3/18/1987,PRH,WNR,5
3/26/1987,PRH,BULL-SA4,1
3/26/1987,PRH,IMM,19
12/17/1987,PRH,SA1-3,8
12/17/1987,PRH,IMM,1
1/5/1988,PRH,BULL-SA4,1
1/5/1988,PRH,COW,6
1/5/1988,PRH,PUP,1
1/5/1988,PRH,IMM,1
1/18/1988,PRH,BULL-SA4,1
1/18/1988,PRH,SA1-3,4
1/18/1988,PRH,COW,16
1/18/1988,PRH,PUP,12
1/18/1988,PRH,IMM,1
1/29/1988,PRH,BULL-SA4,1
1/29/1988,PRH,COW,30
1/29/1988,PRH,PUP,26
1/29/1988,PRH,IMM,1
1/29/1988,SB,SA1-3,3
2/5/1988,PRH,BULL-SA4,1
2/5/1988,PRH,SA1-3,4
2/5/1988,PRH,COW,28
2/5/1988,PRH,PUP,29
2/12/1988,PRH,BULL-SA4,2
2/12/1988,PRH,SA1-3,8
2/12/1988,PRH,COW,18
2/12/1988,PRH,PUP,19
2/12/1988,PRH,WNR,15
2/18/1988,PRH,BULL-SA4,3
2/18/1988,PRH,SA1-3,6
2/18/1988,PRH,COW,14
2/18/1988,PRH,PUP,16
2/18/1988,PRH,WNR,14
2/26/1988,PRH,BULL-SA4,1
2/26/1988,PRH,SA1-3,7
2/26/1988,PRH,COW,8
2/26/1988,PRH,PUP,8
2/26/1988,PRH,WNR,17
3/10/1988,PRH,BULL-SA4,1
3/10/1988,PRH,SA1-3,3
3/10/1988,PRH,WNR,32
12/23/1988,PRH,BULL-SA4,1
12/23/1988,PRH,SA1-3,3
12/23/1988,PRH,IMM,1
12/23/1988,SB,BULL-SA4,1
12/30/1988,PRH,BULL-SA4,1
12/30/1988,PRH,SA1-3,3
12/30/1988,PRH,COW,2
12/30/1988,PRH,IMM,1
12/30/1988,SB,BULL-SA4,1
1/1/1989,PRH,BULL-SA4,1
1/1/1989,PRH,SA1-3,7
1/1/1989,PRH,COW,5
1/1/1989,PRH,IMM,1
1/1/1989,SB,BULL-SA4,1
1/6/1989,PRH,BULL-SA4,1
1/6/1989,PRH,SA1-3,10
1/6/1989,PRH,COW,13
1/6/1989,PRH,PUP,3
1/6/1989,PRH,IMM,2
1/12/1989,PRH,BULL-SA4,2
1/12/1989,PRH,SA1-3,6
1/12/1989,PRH,COW,21
1/12/1989,PRH,PUP,9
1/12/1989,PRH,IMM,1
1/17/1989,PRH,BULL-SA4,2
1/17/1989,PRH,SA1-3,7
1/17/1989,PRH,COW,31
1/17/1989,PRH,PUP,23
1/17/1989,PRH,IMM,2
1/20/1989,PRH,BULL-SA4,2
1/20/1989,PRH,SA1-3,4
1/20/1989,PRH,COW,34
1/20/1989,PRH,PUP,25
1/20/1989,PRH,IMM,2
1/27/1989,PRH,BULL-SA4,4
1/27/1989,PRH,SA1-3,4
1/27/1989,PRH,COW,39
1/27/1989,PRH,PUP,35
1/27/1989,SB,SA1-3,2
2/3/1989,PRH,BULL-SA4,2
2/3/1989,PRH,SA1-3,6
2/3/1989,PRH,COW,39
2/3/1989,PRH,PUP,36
2/3/1989,PRH,WNR,1
2/10/1989,PRH,BULL-SA4,4
2/10/1989,PRH,SA1-3,5
2/10/1989,PRH,COW,26
2/10/1989,PRH,PUP,24
2/10/1989,PRH,WNR,19
2/10/1989,SB,SA1-3,2
2/17/1989,PRH,BULL-SA4,3
2/17/1989,PRH,SA1-3,5
2/17/1989,PRH,COW,17
2/17/1989,PRH,PUP,17
2/17/1989,PRH,WNR,27
2/17/1989,PRH,IMM,1
2/24/1989,PRH,BULL-SA4,2
2/24/1989,PRH,SA1-3,6
2/24/1989,PRH,COW,11
2/24/1989,PRH,PUP,11
2/24/1989,PRH,WNR,32
3/3/1989,PRH,BULL-SA4,3
3/3/1989,PRH,SA1-3,5
3/3/1989,PRH,COW,5
3/3/1989,PRH,PUP,4
3/3/1989,PRH,WNR,41
3/7/1989,PRH,BULL-SA4,2
3/7/1989,PRH,SA1-3,6
3/7/1989,PRH,COW,3
3/7/1989,PRH,WNR,45
3/24/1989,PRH,WNR,30
3/24/1989,PRH,IMM,6
3/30/1989,PRH,WNR,31
3/30/1989,PRH,IMM,21
11/9/1989,PRH,SA1-3,16
11/9/1989,PRH,COW,1
11/9/1989,PRH,IMM,10
12/20/1989,PRH,BULL-SA4,2
12/20/1989,PRH,SA1-3,2
12/20/1989,PRH,COW,1
12/20/1989,PRH,IMM,14
