Date,Location,Age,Count
3/5/1990,PR Headlands,WNR,47
3/10/1990,PR Headlands,BULL-SA4,4
3/10/1990,PR Headlands,SA1-3,3
3/10/1990,PR Headlands,COW,2
3/10/1990,PR Headlands,PUP,2
3/10/1990,PR Headlands,WNR,47
3/10/1990,PR Headlands,IMM,2
3/20/1990,PR Headlands,BULL-SA4,2
3/20/1990,PR Headlands,SA1-3,2
3/20/1990,PR Headlands,COW,1
3/20/1990,PR Headlands,WNR,48
3/20/1990,PR Headlands,IMM,24
11/16/1990,PR Headlands,IMM,243
11/29/1990,PR Headlands,SA1-3,2
11/29/1990,PR Headlands,IMM,185
12/1/1990,PR Headlands,IMM,132
12/18/1990,PR Headlands,BULL-SA4,2
12/18/1990,PR Headlands,SA1-3,6
12/18/1990,PR Headlands,COW,1
12/18/1990,PR Headlands,IMM,34
12/25/1990,PR Headlands,BULL-SA4,3
12/25/1990,PR Headlands,SA1-3,3
12/25/1990,PR Headlands,COW,1
12/25/1990,PR Headlands,PUP,1
12/25/1990,PR Headlands,IMM,37
12/28/1990,PR Headlands,BULL-SA4,4
12/28/1990,PR Headlands,SA1-3,12
12/28/1990,PR Headlands,COW,3
12/28/1990,PR Headlands,PUP,1
12/28/1990,PR Headlands,IMM,30
1/4/1991,PR Headlands,BULL-SA4,3
1/4/1991,PR Headlands,SA1-3,9
1/4/1991,PR Headlands,COW,11
1/4/1991,PR Headlands,PUP,2
1/4/1991,PR Headlands,IMM,15
1/10/1991,PR Headlands,BULL-SA4,4
1/10/1991,PR Headlands,SA1-3,8
1/10/1991,PR Headlands,COW,21
1/10/1991,PR Headlands,PUP,11
1/10/1991,PR Headlands,IMM,9
1/11/1991,PR Headlands,BULL-SA4,4
1/11/1991,PR Headlands,SA1-3,7
1/11/1991,PR Headlands,COW,30
1/11/1991,PR Headlands,PUP,12
1/11/1991,PR Headlands,IMM,14
1/21/1991,PR Headlands,BULL-SA4,4
1/21/1991,PR Headlands,SA1-3,12
1/21/1991,PR Headlands,COW,61
1/21/1991,PR Headlands,PUP,48
1/21/1991,PR Headlands,WNR,1
1/21/1991,PR Headlands,IMM,7
1/23/1991,PR Headlands,BULL-SA4,6
1/23/1991,PR Headlands,SA1-3,10
1/23/1991,PR Headlands,COW,72
1/23/1991,PR Headlands,PUP,56
1/23/1991,PR Headlands,WNR,1
1/23/1991,PR Headlands,IMM,10
1/28/1991,PR Headlands,BULL-SA4,5
1/28/1991,PR Headlands,SA1-3,10
1/28/1991,PR Headlands,COW,74
1/28/1991,PR Headlands,PUP,66
1/28/1991,PR Headlands,DEADPUP,1
1/28/1991,PR Headlands,WNR,2
1/28/1991,PR Headlands,IMM,3
1/30/1991,PR Headlands,BULL-SA4,4
1/30/1991,PR Headlands,SA1-3,7
1/30/1991,PR Headlands,COW,79
1/30/1991,PR Headlands,PUP,73
1/30/1991,PR Headlands,DEADPUP,1
1/30/1991,PR Headlands,WNR,2
1/30/1991,PR Headlands,IMM,1
2/6/1991,PR Headlands,BULL-SA4,5
2/6/1991,PR Headlands,SA1-3,7
2/6/1991,PR Headlands,COW,73
2/6/1991,PR Headlands,PUP,69
